source_row,candidate_name,decision,source_url,notes
1,CodeHype.ai,existing-pending,https://x.com/harisahmad59/status/2101599301957017701,CodeHype is in pending LaunchRepo intake; not duplicated.
2,GitHub,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
3,G2,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
4,SubmitForBacklinks.com,added-unverified,https://x.com/harisahmad59/status/2101599301957017701,New source lead; homepage read is not full verification.
5,ProvenExpert,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
6,Aura++,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Corrected guide typo; Aura Plus Plus already in registry.
7,Reclaim.ai,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
8,Grokipedia,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
9,Modal,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
10,Dodo Payments Index,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
11,Uneed,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
12,BetterLaunch,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
13,CtrlAlt,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
14,DomainAIo,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
15,Needle,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
16,ABackLaunch,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
17,Nick Launches,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
18,What Launched Today,existing-main,https://x.com/harisahmad59/status/2101599301957017701,Existing registry or guide coverage; not verified submission approval.
