candidate_name,source_claimed_dr_unverified,source_mentions,source_row_numbers,source_url,source_entry_url,source_observed_at,source_claimed_traffic_unverified,source_claimed_cost_unverified,source_claimed_approval_time_unverified,source_claimed_link_attribute_unverified,verification_status,route_type,canonical_domain,submission_url,public_indexable,link_attribute,last_verified_at,notes
Launching Next,54,1,17,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Startup Ranking,61,1,24,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Open Launch,72,1,33,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
AI Tools,67,1,34,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
GetApp,85,1,35,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
TinyHunt,43,1,36,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Software Suggest,77,1,37,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
MagicBox,68,1,38,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Resource FYI,31,1,41,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Clutch,91,1,44,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Future Tools,69,1,45,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
AI Valley,33,1,48,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
AI Tools Club,35,1,49,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
MakerHunt,45,1,52,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Dev Resources,40,1,54,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
SideHunt,44,1,55,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
AI Tool Directory,52,1,56,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Dang AI,82,1,60,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Versily,68,1,62,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Software World,73,1,65,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Tool Pilot,78,1,68,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Micro SaaS Examples,49,1,73,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Build Voyage,43,1,75,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Product Burst,40,1,76,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Try Launch,56,1,77,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Find Your SaaS,44,1,78,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
SaaS Hunt,60,1,79,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Startup Listing,40,1,80,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Promote Project,50,1,81,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
Idea Kiln,51,1,82,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,2026-09-20,,,,,UNVERIFIED_SOURCE_LEAD,unknown,,,unknown,unknown,,"Source-only research lead. Do not submit or recommend before checking identity, fit, eligibility, cost, indexability and link behavior. No free/dofollow or current DR claim."
