source_row,candidate_name,source_claimed_dr_unverified,decision,matched_name,evidence_ref,source_url,shared_post_url,notes
1,Product Hunt,91,existing-main,Product Hunt,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
2,TrustMRR,71,existing-main,TrustMRR,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
3,Indie Hackers,81,existing-main,Indie Hackers,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
4,Hacker News,91,existing-main,Hacker News,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
5,BetaList,76,existing-main,BetaList,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
6,AlternativeTo,80,existing-main,AlternativeTo,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
7,OpenAlternative,52,existing-main,OpenAlternative,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
8,Tiny Startups,71,existing-main,Tiny Startup,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
9,Uneed,75,existing-main,Uneed,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
10,SideProjectors,71,existing-main,SideProjectors,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
11,SourceForge,92,existing-main,SourceForge,origin/main,https://x.com/hridoyreh/status/2101574360385360122,https://x.com/AleksDoesCode/status/2101668320286044171,Name/spacing alias to candidate registry entry.
